EdFiVersionNumber,EdFiNamespace,EdFiCodeValue,EdFiShortDescription,EdFiDescription,EdFiElementName,EdFiEntity,EdFiPath,EdFiDescription,CEDSElementName,CEDSGlobalId,CEDSOptionCode,CEDSOptionDescription,CEDSOptionDefinition,CEDSDataType,OptionSetMatchConfidence,ElementMatchConfidence,Notes
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Eastern Shawnee,Eastern Shawnee,Eastern Shawnee Tribe of Oklahoma,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Georgetown,Georgetown,Native Village of Georgetown,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Iliamna,Iliamna,Village of Iliamna,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Keweenaw,Keweenaw,"Keweenaw Bay Indian Community, Michigan",TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Lac Vieux,Lac Vieux,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Mekoryuk,Mekoryuk,Native Village of Mekoryuk,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Native Village of Atqasuk,Native Village of Atqasuk,Native Village of Atqasuk,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Oglala Sioux,Oglala Sioux,Oglala Sioux Tribe,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Pawnee,Pawnee,Pawnee Nation of Oklahoma,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Pueblo of Acoma,Pueblo of Acoma,"Pueblo of Acoma, New Mexico",TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,"Rappahannock Tribe, Inc.","Rappahannock Tribe, Inc.","Rappahannock Tribe, Inc.",TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Santa Rosa of Chuilla,DEPRECATED: Santa Rosa of Chuilla,"DEPRECATED: Santa Rosa Band of Cahuilla Indians, California",TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Siletz Tribe,Siletz Tribe,Confederated Tribes of Siletz Indians of Oregon,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Table Mountain,Table Mountain,Table Mountain Rancheria ,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Turtle Mountain,Turtle Mountain,Turtle Mountain Band of Chippewa Indians of North Dakota,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Wichita,Wichita,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma",TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/WeaponDescriptor,Other Sharp Objects,Other Sharp Objects,Other Sharp Objects,WeaponDescriptor,DisciplineIncident,Weapon,Identifies the type of weapon used during an incident. The Federal Gun-Free Schools Act requires states to report the number of students expelled for bringing firearms to school by type of firearm.,,,,,,,,,
